Geneid	./mouse_cns_E18_rep2.Aligned.sortedByCoord.out.bam	./mouse_cns_E14_rep1.Aligned.sortedByCoord.out.bam	./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam	./mouse_cns_E14_rep2.Aligned.sortedByCoord.out.bam
ENSMUSG00000034587	32	35	20	40
ENSMUSG00000053263	13	18	14	11
ENSMUSG00000056579	398	393	414	343
ENSMUSG00000069181	0	2	2	2
ENSMUSG00000084962	0	0	0	0
ENSMUSG00000085039	11	15	12	16
ENSMUSG00000086032	0	0	1	0
ENSMUSG00000086566	115	105	151	96
ENSMUSG00000087221	49	60	54	64
ENSMUSG00000087291	1	1	1	0
ENSMUSG00000087580	0	0	0	0
ENSMUSG00000087687	105	108	87	166
ENSMUSG00000087697	8	11	6	5
ENSMUSG00000091488	40	52	57	78
ENSMUSG00000091559	3	5	2	4
ENSMUSG00000091607	0	0	0	0
ENSMUSG00000023795	1391	1419	1432	1068
ENSMUSG00000073242	0	0	0	0
ENSMUSG00000082286	2976	2944	3212	2709
ENSMUSG00000084941	6	7	7	16
ENSMUSG00000085043	0	4	1	1
ENSMUSG00000085048	0	0	0	0
ENSMUSG00000085180	8	13	4	2
ENSMUSG00000085205	0	0	2	0
ENSMUSG00000085394	0	0	0	0
ENSMUSG00000085656	0	0	0	0
ENSMUSG00000086049	1	0	0	0
ENSMUSG00000086065	0	0	0	4
ENSMUSG00000086445	0	0	0	0
ENSMUSG00000087055	0	1	0	0
ENSMUSG00000087111	2	1	1	2
ENSMUSG00000089665	19	9	14	15
ENSMUSG00000089699	1	6	2	4
ENSMUSG00000089956	0	0	0	0
ENSMUSG00000091849	4	0	0	0
ENSMUSG00000092286	3	8	10	8
ENSMUSG00000000600	974	980	1106	1087
ENSMUSG00000000766	448	156	571	297
ENSMUSG00000001376	788	753	728	796
ENSMUSG00000001750	435	589	436	418
ENSMUSG00000003282	38	80	54	50
ENSMUSG00000003585	17	8	18	12
ENSMUSG00000004565	724	737	656	556
ENSMUSG00000004567	1171	1295	1228	1230
ENSMUSG00000004568	558	548	610	609
ENSMUSG00000004626	950	598	1054	693
ENSMUSG00000004630	39	11	7	1
ENSMUSG00000004748	20	17	36	20
ENSMUSG00000005534	646	688	743	616
ENSMUSG00000005540	0	0	7	2
ENSMUSG00000005907	391	425	446	348
ENSMUSG00000005982	1251	1430	1212	1239
ENSMUSG00000005983	135	105	110	97
ENSMUSG00000006333	2431	3146	2564	3047
ENSMUSG00000006335	117	140	158	132
ENSMUSG00000007415	607	592	711	546
ENSMUSG00000008307	26	40	28	20
ENSMUSG00000008373	394	437	364	545
ENSMUSG00000012705	3	6	7	2
ENSMUSG00000013974	4	4	2	4
ENSMUSG00000014232	800	671	800	723
ENSMUSG00000014529	0	2	0	0
ENSMUSG00000015202	841	2006	624	2136
ENSMUSG00000017688	62	12	22	34
ENSMUSG00000019368	0	2	0	0
ENSMUSG00000019470	670	892	810	880
ENSMUSG00000019734	63	74	72	56
ENSMUSG00000020430	168	249	173	226
ENSMUSG00000020432	64	95	43	91
ENSMUSG00000020434	4	8	9	9
ENSMUSG00000020435	132	109	141	73
ENSMUSG00000020439	24	63	24	32
ENSMUSG00000020448	199	218	141	202
ENSMUSG00000020451	472	633	581	544
ENSMUSG00000020453	166	325	210	337
ENSMUSG00000020454	367	427	338	453
ENSMUSG00000020457	176	269	203	256
ENSMUSG00000020658	1012	992	1115	900
ENSMUSG00000020660	14	61	8	18
ENSMUSG00000020661	1205	1337	1197	1197
