Geneid	./mouse_cns_E18_rep2.Aligned.sortedByCoord.out.bam
ENSMUSG00000034587	32
ENSMUSG00000053263	13
ENSMUSG00000056579	398
ENSMUSG00000069181	0
ENSMUSG00000084962	0
ENSMUSG00000085039	11
ENSMUSG00000086032	0
ENSMUSG00000086566	115
ENSMUSG00000087221	49
ENSMUSG00000087291	1
ENSMUSG00000087580	0
ENSMUSG00000087687	105
ENSMUSG00000087697	8
ENSMUSG00000091488	40
ENSMUSG00000091559	3
ENSMUSG00000091607	0
ENSMUSG00000023795	1391
ENSMUSG00000073242	0
ENSMUSG00000082286	2976
ENSMUSG00000084941	6
ENSMUSG00000085043	0
ENSMUSG00000085048	0
ENSMUSG00000085180	8
ENSMUSG00000085205	0
ENSMUSG00000085394	0
ENSMUSG00000085656	0
ENSMUSG00000086049	1
ENSMUSG00000086065	0
ENSMUSG00000086445	0
ENSMUSG00000087055	0
ENSMUSG00000087111	2
ENSMUSG00000089665	19
ENSMUSG00000089699	1
ENSMUSG00000089956	0
ENSMUSG00000091849	4
ENSMUSG00000092286	3
ENSMUSG00000000600	974
ENSMUSG00000000766	448
ENSMUSG00000001376	788
ENSMUSG00000001750	435
ENSMUSG00000003282	38
ENSMUSG00000003585	17
ENSMUSG00000004565	724
ENSMUSG00000004567	1171
ENSMUSG00000004568	558
ENSMUSG00000004626	950
ENSMUSG00000004630	39
ENSMUSG00000004748	20
ENSMUSG00000005534	646
ENSMUSG00000005540	0
ENSMUSG00000005907	391
ENSMUSG00000005982	1251
ENSMUSG00000005983	135
ENSMUSG00000006333	2431
ENSMUSG00000006335	117
ENSMUSG00000007415	607
ENSMUSG00000008307	26
ENSMUSG00000008373	394
ENSMUSG00000012705	3
ENSMUSG00000013974	4
ENSMUSG00000014232	800
ENSMUSG00000014529	0
ENSMUSG00000015202	841
ENSMUSG00000017688	62
ENSMUSG00000019368	0
ENSMUSG00000019470	670
ENSMUSG00000019734	63
ENSMUSG00000020430	168
ENSMUSG00000020432	64
ENSMUSG00000020434	4
ENSMUSG00000020435	132
ENSMUSG00000020439	24
ENSMUSG00000020448	199
ENSMUSG00000020451	472
ENSMUSG00000020453	166
ENSMUSG00000020454	367
ENSMUSG00000020457	176
ENSMUSG00000020658	1012
ENSMUSG00000020660	14
ENSMUSG00000020661	1205
ENSMUSG00000020668	1562
ENSMUSG00000020671	1959
ENSMUSG00000021215	218
ENSMUSG00000021216	0
ENSMUSG00000021218	3525
ENSMUSG00000022184	261
ENSMUSG00000022186	422
ENSMUSG00000022529	694
ENSMUSG00000022534	0
ENSMUSG00000023764	356
ENSMUSG00000023800	770
ENSMUSG00000023802	0
ENSMUSG00000023964	116
ENSMUSG00000024231	3995
ENSMUSG00000024232	880
ENSMUSG00000024829	202
ENSMUSG00000024831	172
ENSMUSG00000024843	1259
ENSMUSG00000024866	12
ENSMUSG00000024885	29
ENSMUSG00000024900	328
ENSMUSG00000024905	10
ENSMUSG00000024907	50
ENSMUSG00000024908	1621
ENSMUSG00000024913	89
ENSMUSG00000025898	318
ENSMUSG00000025899	995
ENSMUSG00000026643	1930
ENSMUSG00000026644	8
ENSMUSG00000026645	2
ENSMUSG00000026646	146
ENSMUSG00000026648	383
ENSMUSG00000026650	14
ENSMUSG00000026655	916
ENSMUSG00000026657	229
ENSMUSG00000028232	479
ENSMUSG00000028233	549
ENSMUSG00000028234	2399
ENSMUSG00000028236	0
ENSMUSG00000029663	0
ENSMUSG00000029664	8
ENSMUSG00000030427	0
ENSMUSG00000031494	0
ENSMUSG00000031495	0
ENSMUSG00000032766	102
ENSMUSG00000033765	0
ENSMUSG00000033781	558
ENSMUSG00000033799	1693
ENSMUSG00000034493	0
ENSMUSG00000034543	273
ENSMUSG00000034570	47
ENSMUSG00000034579	42
ENSMUSG00000034614	85
ENSMUSG00000035372	252
ENSMUSG00000035585	826
ENSMUSG00000035596	741
ENSMUSG00000035632	308
ENSMUSG00000035674	383
ENSMUSG00000036908	102
ENSMUSG00000036983	81
ENSMUSG00000037263	0
ENSMUSG00000037477	0
ENSMUSG00000037486	282
ENSMUSG00000039496	6
ENSMUSG00000039738	1609
ENSMUSG00000039789	485
ENSMUSG00000040165	2
ENSMUSG00000040197	0
ENSMUSG00000040236	683
ENSMUSG00000040274	60
ENSMUSG00000040302	149
ENSMUSG00000040340	2
ENSMUSG00000040351	1031
ENSMUSG00000040367	15
ENSMUSG00000040407	530
ENSMUSG00000040429	83
ENSMUSG00000041624	211
ENSMUSG00000041935	3657
ENSMUSG00000042198	218
ENSMUSG00000042228	54
ENSMUSG00000042360	0
ENSMUSG00000044156	29
ENSMUSG00000044433	722
ENSMUSG00000044988	2
ENSMUSG00000045098	1177
ENSMUSG00000046201	733
ENSMUSG00000047205	108
ENSMUSG00000047264	627
ENSMUSG00000047735	106
ENSMUSG00000048807	77
ENSMUSG00000049721	28
ENSMUSG00000049871	87
ENSMUSG00000049950	88
ENSMUSG00000050530	1504
ENSMUSG00000051003	0
ENSMUSG00000051396	700
ENSMUSG00000051951	579
ENSMUSG00000053211	2
ENSMUSG00000053338	0
ENSMUSG00000053395	86
ENSMUSG00000054594	20
ENSMUSG00000054753	0
ENSMUSG00000054939	310
ENSMUSG00000054986	4
ENSMUSG00000055452	212
ENSMUSG00000055541	34
ENSMUSG00000055737	387
ENSMUSG00000056673	1491
ENSMUSG00000058503	267
ENSMUSG00000058818	6
ENSMUSG00000059043	0
ENSMUSG00000059734	792
ENSMUSG00000061971	1
ENSMUSG00000063130	2
ENSMUSG00000063889	929
ENSMUSG00000064065	1695
ENSMUSG00000064373	2835
ENSMUSG00000065952	2
ENSMUSG00000065987	0
ENSMUSG00000068240	3599
ENSMUSG00000068457	549
ENSMUSG00000068566	519
ENSMUSG00000069044	0
ENSMUSG00000069045	1079
ENSMUSG00000069049	2318
ENSMUSG00000069053	28
ENSMUSG00000069633	53
ENSMUSG00000069806	756
ENSMUSG00000071019	0
ENSMUSG00000071454	335
ENSMUSG00000071456	31
ENSMUSG00000071613	93
ENSMUSG00000074417	0
ENSMUSG00000074419	0
ENSMUSG00000074485	0
ENSMUSG00000074491	0
ENSMUSG00000074497	0
ENSMUSG00000074558	0
ENSMUSG00000074561	0
ENSMUSG00000074562	0
ENSMUSG00000074563	0
ENSMUSG00000074564	0
ENSMUSG00000074565	1
ENSMUSG00000075296	16
ENSMUSG00000075702	156
ENSMUSG00000078216	0
ENSMUSG00000078217	0
ENSMUSG00000078218	0
ENSMUSG00000078219	0
ENSMUSG00000078220	0
ENSMUSG00000078221	0
ENSMUSG00000078222	0
ENSMUSG00000078365	2
ENSMUSG00000078366	0
ENSMUSG00000078367	0
ENSMUSG00000078488	0
ENSMUSG00000078813	36
ENSMUSG00000078814	0
ENSMUSG00000078815	4
ENSMUSG00000078816	244
ENSMUSG00000078817	0
ENSMUSG00000079179	75
ENSMUSG00000079397	0
ENSMUSG00000079398	0
ENSMUSG00000079399	139
ENSMUSG00000079402	0
ENSMUSG00000079403	0
ENSMUSG00000079404	0
ENSMUSG00000079405	0
ENSMUSG00000079406	0
ENSMUSG00000079407	23
ENSMUSG00000079408	193
ENSMUSG00000079409	0
ENSMUSG00000079410	1245
ENSMUSG00000079615	0
ENSMUSG00000079719	1
ENSMUSG00000082848	4
ENSMUSG00000089942	0
ENSMUSG00000090364	0
ENSMUSG00000090487	2
ENSMUSG00000090650	0
ENSMUSG00000090929	1
ENSMUSG00000091028	0
ENSMUSG00000091057	0
ENSMUSG00000091119	9
ENSMUSG00000091530	11
ENSMUSG00000091539	0
ENSMUSG00000091599	0
ENSMUSG00000091644	0
ENSMUSG00000091840	0
ENSMUSG00000092101	0
ENSMUSG00000092108	0
ENSMUSG00000044697	2
ENSMUSG00000046787	0
ENSMUSG00000055216	30
ENSMUSG00000060343	0
ENSMUSG00000062353	2119
ENSMUSG00000066902	0
ENSMUSG00000068141	556
ENSMUSG00000069125	7
ENSMUSG00000074418	0
ENSMUSG00000074420	0
ENSMUSG00000079101	180
ENSMUSG00000079889	2
ENSMUSG00000080299	0
ENSMUSG00000080300	0
ENSMUSG00000080703	0
ENSMUSG00000080837	0
ENSMUSG00000080876	0
ENSMUSG00000080917	0
ENSMUSG00000081059	3
ENSMUSG00000081070	10
ENSMUSG00000081165	0
ENSMUSG00000081208	6
ENSMUSG00000081278	2
ENSMUSG00000081279	0
ENSMUSG00000081589	0
ENSMUSG00000081660	0
ENSMUSG00000081665	0
ENSMUSG00000081711	0
ENSMUSG00000081809	10
ENSMUSG00000081926	212
ENSMUSG00000082025	0
ENSMUSG00000082081	0
ENSMUSG00000082093	0
ENSMUSG00000082167	0
ENSMUSG00000082219	0
ENSMUSG00000082366	0
ENSMUSG00000082489	0
ENSMUSG00000082580	50
ENSMUSG00000082643	0
ENSMUSG00000082658	0
ENSMUSG00000082816	0
ENSMUSG00000082991	0
ENSMUSG00000083015	2
ENSMUSG00000083144	0
ENSMUSG00000083186	696
ENSMUSG00000083344	8
ENSMUSG00000083489	0
ENSMUSG00000083579	22
ENSMUSG00000083632	0
ENSMUSG00000083742	0
ENSMUSG00000083918	0
ENSMUSG00000084077	0
ENSMUSG00000084170	0
ENSMUSG00000084211	0
ENSMUSG00000084298	0
ENSMUSG00000084310	0
ENSMUSG00000084955	0
ENSMUSG00000085018	0
ENSMUSG00000085367	0
ENSMUSG00000085685	0
ENSMUSG00000085963	0
ENSMUSG00000085978	0
ENSMUSG00000086230	0
ENSMUSG00000086458	19
ENSMUSG00000086619	0
ENSMUSG00000087262	0
ENSMUSG00000087285	0
ENSMUSG00000089690	0
ENSMUSG00000090025	0
ENSMUSG00000090318	0
ENSMUSG00000090324	1
ENSMUSG00000090423	1
ENSMUSG00000090537	184
ENSMUSG00000090577	0
ENSMUSG00000090601	0
ENSMUSG00000090684	0
ENSMUSG00000090699	0
ENSMUSG00000090701	0
ENSMUSG00000090795	0
ENSMUSG00000091010	0
ENSMUSG00000091249	0
ENSMUSG00000091289	11
ENSMUSG00000091292	0
ENSMUSG00000091304	0
ENSMUSG00000091339	0
ENSMUSG00000091483	0
ENSMUSG00000091516	0
ENSMUSG00000091598	0
ENSMUSG00000091749	1
ENSMUSG00000091834	0
ENSMUSG00000091936	0
ENSMUSG00000092030	8
ENSMUSG00000092168	0
