# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "1" "-t" "exon" "-g" "gene_id" "-a" "annotation.gtf" "-o" "mouse_cns_E18_rep1.counts.txt" "./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam
ENSMUSG00000034587	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	352369;352441;352476;352476;352484;352648;356767;356767;356767;356767;371336;379264;379646	352437;352743;352743;352573;352573;352743;357019;357102;356966;358341;371589;379516;379834	+;+;+;+;+;+;+;+;+;+;+;+;+	2643	20
ENSMUSG00000053263	chr11;chr11	205430;230918	208117;231181	-;-	2952	14
ENSMUSG00000056579	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	539798;539798;543272;544776;544776;546561;546561;546561;548757	543182;543182;545526;545526;545526;547415;547081;547529;548815	-;-;-;-;-;-;-;-;-	6668	414
ENSMUSG00000069181	chr12;chr12	343817;356864	344947;357153	-;-	1421	2
ENSMUSG00000084962	chr11;chr11	434242;434764	434365;434910	+;+	271	0
ENSMUSG00000085039	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	583717;585199;586247;594777;595701;595856;595856;595917;596388	584097;585265;587097;594877;595771;596179;596238;596008;596489	-;-;-;-;-;-;-;-;-	1956	12
ENSMUSG00000086032	chr7;chr7;chr7	617855;618653;621540	618568;618755;621880	+;+;+	1158	1
ENSMUSG00000086566	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	477490;477514;477550;478769;479156;479156;484296;484296;484296;491429;491429	479247;477598;477598;478820;479247;479247;484466;487304;484466;491644;493644	+;+;+;+;+;+;+;+;+;+;+	6983	151
ENSMUSG00000087221	chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15	971687;972372;972976;973572;974661;975396;976020;976020	973601;973601;973344;973601;977402;976076;977393;976298	-;-;-;-;-;-;-;-	4657	54
ENSMUSG00000087291	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	430161;430952;432423;432423;433456;433456;436083;436775	430278;431956;432573;432529;433533;436195;436437;436859	+;+;+;+;+;+;+;+	4341	1
